value,count
"air.texture|air.location_index|air.read|air.arg_type_name|texture1d<float, read>|air.arg_name|tex",856
"air.texture|air.location_index|air.read|air.arg_type_name|texturecube<float, read>|air.arg_name|tex",806
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float4|air.arg_name|out,750
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float|air.arg_name|b,682
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float2|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float2|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float3|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float3|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float4|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half2|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half2|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half3|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half3|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half4|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half4|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int2|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int2|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int3|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int3|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int4|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int4|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint2|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint2|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint3|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint3|air.arg_name|inp,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint4|air.arg_name|out,680
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint4|air.arg_name|inp,680
"air.texture|air.location_index|air.write|air.arg_type_name|texture2d<float, write>|air.arg_name|tex",642
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d<int, read>|air.arg_name|tex",642
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d<uint, read>|air.arg_name|tex",642
"air.texture|air.location_index|air.sample|air.arg_type_name|texture3d<half, sample>|air.arg_name|tex",642
"air.texture|air.location_index|air.sample|air.arg_type_name|texture3d<int, sample>|air.arg_name|tex",642
"air.texture|air.location_index|air.sample|air.arg_type_name|texture3d<uint, sample>|air.arg_name|tex",642
"air.texture|air.location_index|air.sample|air.arg_type_name|texturecube<half, sample>|air.arg_name|tex",642
"air.texture|air.location_index|air.sample|air.arg_type_name|texturecube<int, sample>|air.arg_name|tex",642
"air.texture|air.location_index|air.sample|air.arg_type_name|texturecube<uint, sample>|air.arg_name|tex",642
air.thread_index_in_simdgroup|air.arg_type_name|uint|air.arg_name|lane,640
air.thread_position_in_grid|air.arg_type_name|uint|air.arg_name|t,626
"air.texture|air.location_index|air.sample|air.arg_type_name|texture2d<float, sample>|air.arg_name|tex|air.arg_unused",600
air.sampler|air.location_index|air.arg_type_name|sampler|air.arg_name|smp|air.arg_unused,600
"air.texture|air.location_index|air.sample|air.arg_type_name|texture2d<float, sample>|air.arg_name|t",585
air.sampler_state,548
air.vertex_output|generated(6v_flatDv4_f)|air.arg_type_name|float4|air.arg_name|v_flat,546
air.vertex_output|generated(4v_cpDv4_f)|air.arg_type_name|float4|air.arg_name|v_cp,546
air.vertex_output|generated(5v_cnpDv4_f)|air.arg_type_name|float4|air.arg_name|v_cnp,546
air.vertex_output|generated(5v_ctpDv4_f)|air.arg_type_name|float4|air.arg_name|v_ctp,546
air.vertex_output|generated(6v_ctnpDv4_f)|air.arg_type_name|float4|air.arg_name|v_ctnp,546
air.vertex_output|generated(4v_spDv4_f)|air.arg_type_name|float4|air.arg_name|v_sp,546
air.vertex_output|generated(5v_snpDv4_f)|air.arg_type_name|float4|air.arg_name|v_snp,546
air.vertex_output|user(uid)|air.arg_type_name|uint|air.arg_name|v_user,546
air.point_size|air.arg_type_name|float|air.arg_name|v_ps,546
air.render_target|air.arg_type_name|float4|air.arg_name|c0,546
air.render_target|air.arg_type_name|float4|air.arg_name|c1,546
air.render_target|air.arg_type_name|float4|air.arg_name|c2,546
air.render_target|air.arg_type_name|float4|air.arg_name|c3,546
air.depth|air.depth_qualifier|air.any|air.arg_type_name|float|air.arg_name|d,546
air.fragment_input|generated(4v_cpDv4_f)|air.center|air.perspective|air.arg_type_name|float4|air.arg_name|v_cp,546
air.fragment_input|generated(5v_cnpDv4_f)|air.center|air.no_perspective|air.arg_type_name|float4|air.arg_name|v_cnp,546
air.fragment_input|generated(5v_ctpDv4_f)|air.centroid|air.perspective|air.arg_type_name|float4|air.arg_name|v_ctp,546
