value,count
=,136582
+,52530
+=,42744
*,10992
&,2350
==,2120
|,1760
-,1472
!=,1322
<,1298
%,944
/,858
>,644
<=,472
>=,472
++,418
*=,354
<<,354
!,236
/=,236
>>,236
&=,236
^=,236
~,236
&&,118
.*,118
