value,count
xy,708
cd,708
simd_broadcast,688
simd_shuffle,680
quad_shuffle_down,604
count,604
accel,600
q,596
select,590
rsqrt,590
sqrt,590
clamp,590
A,590
t2,590
t7,590
t14,590
w,590
_texture3d_write,590
fold_sum,590
check,590
safe_div,590
g,590
conv,590
twice,590
_texture2d_array_read,582
simd_ballot,580
payload,580
simd_prefix_exclusive_sum,556
simd_prefix_inclusive_sum,556
simd_prefix_exclusive_product,556
simd_prefix_inclusive_product,556
raytracing,540
s0,526
simd_shuffle_up,488
simd_shuffle_xor,488
uint32_t,480
__darwin_ino64_t,472
uint64_t,472
__darwin_mach_port_name_t,472
__darwin_pthread_handler_rec,472
read_constant,472
read_device,472
read_thread,472
in1,472
in2,472
acnt,472
ts,472
tr,472
tw,472
mem_device,472
i4,472
fmin,472
fmax,472
step,472
smoothstep,472
length,472
reflect,472
popcount,472
fma,472
saturate,472
rd,472
gt,472
acos,472
asin,472
ceil,472
exp,472
exp2,472
floor,472
fract,472
log,472
log2,472
rint,472
round,472
tan,472
trunc,472
mix,472
cross,472
constexpr_add,472
e,472
uint1,472
B,472
Base,472
Args,472
t1,472
l0,472
l1,472
l2,472
l3,472
ld_helper_visible_unused,472
cmp,472
swz,472
sampler_coord_filter,472
linear,472
lanes,472
ms,472
sample_compare,472
foo,472
ps,472
gradient1d,472
_texture1d_write,472
size,470
quad_min,462
operator&,450
max_distance,420
plus1,414
ptr0,408
tarr,408
simd_any,408
simd_all,408
clz,408
ctz,408
_texturecube_read,396
sig,384
tig,368
isect,360
object,356
fp,356
all,354
any,354
isnan,354
isinf,354
isfinite,354
isnormal,354
refract,354
faceforward,354
atan,354
cosh,354
sinh,354
tanh,354
atomic_fetch_and_explicit,354
atomic_fetch_or_explicit,354
atomic_fetch_xor_explicit,354
factorial,354
t3,354
t4,354
t5,354
t6,354
t8,354
t9,354
t10,354
t11,354
t12,354
t13,354
t15,354
t16,354
t17,354
t18,354
t19,354
t20,354
t21,354
t22,354
t23,354
t24,354
ff,354
Wrap,354
Wrap0,354
Wrap1,354
Wrap2,354
Wrap3,354
Wrap4,354
Wrap5,354
Wrap6,354
Wrap7,354
Wrap8,354
Wrap9,354
Wrap10,354
Wrap11,354
Wrap12,354
Wrap13,354
Wrap14,354
Wrap15,354
Wrap16,354
Wrap17,354
Wrap18,354
Wrap19,354
Wrap20,354
Wrap21,354
Wrap22,354
Wrap23,354
Wrap24,354
Wrap25,354
Wrap26,354
Wrap27,354
Wrap28,354
Wrap29,354
Wrap30,354
Wrap31,354
Wrap32,354
Wrap33,354
Wrap34,354
Wrap35,354
Wrap36,354
Wrap37,354
Wrap38,354
Wrap39,354
Wrap40,354
Wrap41,354
Wrap42,354
Wrap43,354
Wrap44,354
Wrap45,354
Wrap46,354
Wrap47,354
Wrap48,354
Wrap49,354
Wrap50,354
Wrap51,354
Wrap52,354
Wrap53,354
Wrap54,354
Wrap55,354
Wrap56,354
Wrap57,354
