value,count
ray_data Uniforms &(device Uniforms &&) ray_data,4392
ray_data Uniforms &(threadgroup Uniforms &&) ray_data,4392
ray_data Uniforms &(threadgroup_imageblock Uniforms &&) ray_data,4392
ray_data Uniforms &(ray_data Uniforms &&) ray_data,4392
ray_data Uniforms &(Uniforms &&) ray_data,4392
Uniforms &(ray_data Uniforms &&),4392
VOut,4334
"unsigned int (unsigned int, metal::ushort)",4308
bool __attribute__((ext_vector_type(4))),4012
Vec,3928
void () ray_data,3900
P2,3692
metal::float3,3680
device NestedLayout *,3540
const constant int *,3536
"unsigned int (volatile device _atomic<unsigned int> *, unsigned int, metal::memory_order)",3384
void (const object_data Uniforms &) threadgroup,3368
void (const object_data Uniforms &) ray_data,3368
void (const object_data Uniforms &),3368
void (object_data Uniforms &&) threadgroup,3368
void (object_data Uniforms &&) ray_data,3368
void (object_data Uniforms &&),3368
device Uniforms &(object_data Uniforms &&) device,3368
threadgroup Uniforms &(object_data Uniforms &&) threadgroup,3368
threadgroup_imageblock Uniforms &(object_data Uniforms &&) threadgroup_imageblock,3368
ray_data Uniforms &(object_data Uniforms &&) ray_data,3368
object_data Uniforms &(device Uniforms &&) object_data,3368
object_data Uniforms &(threadgroup Uniforms &&) object_data,3368
object_data Uniforms &(threadgroup_imageblock Uniforms &&) object_data,3368
object_data Uniforms &(ray_data Uniforms &&) object_data,3368
object_data Uniforms &(object_data Uniforms &&) object_data,3368
object_data Uniforms &(Uniforms &&) object_data,3368
Uniforms &(object_data Uniforms &&),3368
"vec<half, 4>",3348
IoFragOutG,3304
IoFragOutL,3304
IoVertexOut &&,3188
packed_float3,3124
"texture2d<float, access::write>",3068
VO4,3068
VOu,3068
"texture2d_array<float, access::sample>",3068
"vec<unsigned int, 4>",2994
"vec<int, 4>",2994
int (),2950
"texture2d<half, access::sample>",2832
"texture3d<float, access::sample>",2832
"ArrayBox<float4, 2>",2832
const VertexOut &,2814
const constant VertexOut &,2814
"texture2d_array<float, access::read>",2714
"texture3d<float, access::read>",2714
"texturecube<float, access::sample>",2714
"void (device uint *, uint)",2682
unsigned int (*)(unsigned int),2624
"metal::float4 (metal::float4, metal::float4)",2596
NestedLayout,2596
FO4,2596
"metal::uint (metal::uint, metal::uint)",2512
"texture2d<int, access::sample>",2478
"texture2d<uint, access::sample>",2478
"texture2d_array<half, access::sample>",2478
"texture2d_array<int, access::sample>",2478
"texture2d_array<uint, access::sample>",2478
"depth2d<float, access::sample>",2478
metal::gradient2d,2452
"unsigned int (const volatile device _atomic<unsigned int> *, metal::memory_order)",2444
"const metal::_texture2d_sample<float, metal::access::sample, metal::__memory_coherence_threadgroup>",2444
VOr,2426
const constant ArgBufArr &,2424
uint (uint),2418
int (*)(int),2368
threadgroup uint *,2360
"texture1d<float, access::sample>",2360
device float2,2360
device float3,2360
device half2,2360
device half3,2360
device half4,2360
VO,2360
"metal::vec<int, 4>",2360
"texture1d<float, access::read>",2360
"metal::vec<half, 4>",2360
volatile device _atomic<unsigned int> *,2350
"float (float, float, float)",2296
long,2290
"float (*)(float, float)",2278
void (*)(metal::mem_flags),2256
metal::int3,2242
"void (int, device float *)",2208
"void (int, device uint *)",2186
"unsigned int (*)(unsigned int, metal::ushort)",2154
metal::ushort,2154
"metal::float3 (metal::float3, metal::float3)",2124
threadgroup uint,2124
device int2,2124
device int3,2124
device int4,2124
device uint2,2124
device uint3,2124
device uint4,2124
"texturecube<float, access::read>",2124
VOc,2124
const device VertexOut &,2048
const threadgroup VertexOut &,2048
device VertexOut &&,2048
threadgroup VertexOut &&,2048
threadgroup float,2042
IoFragOutA &&,2008
uint *,2006
void () threadgroup noexcept,2006
"vec<float, 4> (const constant matrix<float, 4, 4> &, vec<float, 4>)",2004
AbiStruct &&,1948
const constant AddressBox *,1888
device AddressBox *,1888
metal::bool4 (metal::float4),1888
"float (metal::float3, metal::float3)",1888
"void (device int *, device int *)",1888
void (const device coherent(device) Uniforms &) threadgroup,1888
void (const device coherent(device) Uniforms &) ray_data,1888
void (const device coherent(device) Uniforms &),1888
void (device coherent(device) Uniforms &&) threadgroup,1888
void (device coherent(device) Uniforms &&) ray_data,1888
void (device coherent(device) Uniforms &&),1888
device Uniforms &(device coherent(device) Uniforms &&) device,1888
device coherent(device) Uniforms &(device Uniforms &&) device coherent(device),1888
device coherent(device) Uniforms &(device coherent(device) Uniforms &&) device coherent(device),1888
device coherent(device) Uniforms &(threadgroup Uniforms &&) device coherent(device),1888
device coherent(device) Uniforms &(threadgroup_imageblock Uniforms &&) device coherent(device),1888
device coherent(device) Uniforms &(ray_data Uniforms &&) device coherent(device),1888
device coherent(device) Uniforms &(object_data Uniforms &&) device coherent(device),1888
device coherent(device) Uniforms &(Uniforms &&) device coherent(device),1888
