value,count
"%""struct.metal::texture2d.51"" = type { %struct._texture_2d_t addrspace(1)* }",48
"%""struct.metal::texture1d.36"" = type { %struct._texture_1d_t addrspace(1)* }",48
"%""struct.metal::texture2d_array.67"" = type { %struct._texture_2d_array_t addrspace(1)* }",48
"%""struct.metal::texture3d.83"" = type { %struct._texture_3d_t addrspace(1)* }",48
"%""struct.metal::texture1d.98"" = type { %struct._texture_1d_t addrspace(1)* }",48
"%""struct.metal::texture2d.113"" = type { %struct._texture_2d_t addrspace(1)* }",48
"%""struct.metal::texture2d_array.129"" = type { %struct._texture_2d_array_t addrspace(1)* }",48
"%""struct.metal::texture3d.145"" = type { %struct._texture_3d_t addrspace(1)* }",48
"%""struct.metal::texture1d.160"" = type { %struct._texture_1d_t addrspace(1)* }",48
"%""struct.metal::texture2d.175"" = type { %struct._texture_2d_t addrspace(1)* }",48
"%""struct.metal::texture2d_array.191"" = type { %struct._texture_2d_array_t addrspace(1)* }",48
"%""struct.metal::texture3d.207"" = type { %struct._texture_3d_t addrspace(1)* }",48
"%""struct.metal::_texture2d_read.29"" = type { i8 }",24
"%""struct.metal::texture2d.25"" = type { %struct._texture_2d_t addrspace(1)* }",24
"%""struct.metal::texture2d_array.39"" = type { %struct._texture_2d_array_t addrspace(1)* }",24
"%""struct.metal::texture3d.53"" = type { %struct._texture_3d_t addrspace(1)* }",24
"%""struct.metal::texture1d.66"" = type { %struct._texture_1d_t addrspace(1)* }",24
"%""struct.metal::texture2d.79"" = type { %struct._texture_2d_t addrspace(1)* }",24
"%""struct.metal::texture2d_array.93"" = type { %struct._texture_2d_array_t addrspace(1)* }",24
"%""struct.metal::texture3d.107"" = type { %struct._texture_3d_t addrspace(1)* }",24
"%""struct.metal::texture1d.120"" = type { %struct._texture_1d_t addrspace(1)* }",24
"%""struct.metal::texture2d.133"" = type { %struct._texture_2d_t addrspace(1)* }",24
"%""struct.metal::texture2d_array.147"" = type { %struct._texture_2d_array_t addrspace(1)* }",24
"%""struct.metal::texture3d.161"" = type { %struct._texture_3d_t addrspace(1)* }",24
"%struct.NestedLayout = type { <3 x float>, { [3 x float] }, i32, [2 x <4 x float>] }",14
%struct._compute_pipeline_state_t = type opaque,8
%struct._depth_2d_ms_array_t = type opaque,7
%struct._command_buffer_t = type opaque,7
%struct._depth_stencil_state_t = type opaque,7
"%""struct.metal::compute_pipeline_state"" = type { %struct._compute_pipeline_state_t addrspace(1)* }",7
"%""struct.metal::depth_stencil_state"" = type { %struct._depth_stencil_state_t addrspace(1)* }",7
"%""struct.metal::raytracing::intersection_function_table"" = type { %struct._intersection_function_table_t addrspace(1)* }",7
%struct._render_pipeline_state_t = type opaque,7
%struct._visible_function_table_t = type opaque,6
"%""struct.metal::matrix"" = type { [4 x <3 x float>] }",6
"%""struct.metal::render_pipeline_state"" = type { %struct._render_pipeline_state_t addrspace(1)* }",6
%struct._intersection_query_t = type opaque,5
%struct._intersection_result_t = type opaque,5
"%""struct.metal::sparse_color"" = type <{ <4 x float>, i64, [8 x i8] }>",4
"%""struct.metal::tensor"" = type { %struct._tensor_t addrspace(1)* }",4
%struct._tensor_t = type opaque,4
%struct._depth_2d_ms_t = type opaque,3
%struct._function_handle_t = type opaque,3
"%""struct.metal::raytracing::intersection_result"" = type <{ %""struct.metal::raytracing::_intersection_result_base"", %""struct.metal::raytracing::_intersection_result_instancing_ext"", %""struct.metal::raytracing::_intersection_result_triangle_data_ext.base"", [7 x i8] }>",3
"%""struct.metal::raytracing::_intersection_result_base"" = type { i32, float, i32, i32, i8 addrspace(1)* }",3
"%""struct.metal::raytracing::_intersection_result_instancing_ext"" = type { i32, i32 }",3
"%""struct.metal::raytracing::_intersection_result_triangle_data_ext.base"" = type <{ <2 x float>, i8 }>",3
"%struct.Params = type { <4 x float>, i32, [12 x i8] }",2
"%""struct.metal::sparse_color.91"" = type { float, i8, i64 }",2
%struct._texture_2d_ms_array_t = type opaque,2
"%""struct.metal::visible_function_table"" = type { %struct._visible_function_table_t addrspace(1)* }",2
%struct._patch_control_point_t = type opaque,2
%struct._primitive_acceleration_structure_t = type opaque,2
"%""struct.metal::_imageblock_base"" = type { %struct._imageblock_t addrspace(4)* }",2
%struct._imageblock_t = type opaque,2
"%""struct.metal::sparse_color"" = type { float, i8, i64 }",1
"%""struct.metal::quad_vote"" = type { i16 }",1
"%""struct.metal::simd_vote"" = type { i64 }",1
"%""struct.metal::_command.base"" = type <{ %struct._command_buffer_t addrspace(1)*, i32 }>",1
%struct._interpolant_t = type opaque,1
"%""struct.metal::array"" = type { [2 x i64] }",1
"%""struct.metal::__tensor_observer"" = type { i8 }",1
"%""struct.metal::__tensor_base"" = type { i8 }",1
"%""struct.metal::tensor.0"" = type { [8 x i8] }",1
"%""struct.metal::__tensor_base.1"" = type { i8 }",1
"%""struct.metal::rasterization_rate_map_data"" = type opaque",1
%struct._mesh_t = type opaque,1
%struct._mesh_grid_properties_t = type opaque,1
%struct._vertex_value_t = type opaque,1
"%""struct.metal::function_handle"" = type { %struct._function_handle_t addrspace(1)* }",1
"%""struct.metal::raytracing::_acceleration_structure"" = type { %struct._primitive_acceleration_structure_t addrspace(1)* }",1
"%struct.PL25 = type { <2 x float>, i32 }",1
"%""struct.metal::_atomic"" = type { i64 }",1
"%""struct.metal::_atomic.4238"" = type { i32 }",1
"%""struct.metal::_atomic.4239"" = type { i32 }",1
